pid,date,cpu,mem
249,17:08:35,0,3.7
395,17:08:35,0,1.1
141,17:08:35,0.3,1.4
6020,17:08:35,0,1.7
6043,17:08:35,0.1,3
6338,17:08:35,0,2
172,17:08:35,0,1.2
406,17:08:35,0,0.3
343,17:08:35,0,0.6
6126,17:08:35,0,4.1
6216,17:08:35,0,0.2
6002,17:08:35,0.1,3
6350,17:08:35,0,0.2
6211,17:08:35,0,0.1
582,17:08:35,0,0
6401,17:08:35,2.6,3.9
6007,17:08:35,0,1.3
6181,17:08:35,0,0.9
6026,17:08:35,0,0.4
6013,17:08:35,0.1,1.3
249,17:08:36,2,3.7
395,17:08:36,0,1.1
141,17:08:36,3.2,1.4
6020,17:08:36,0,1.7
6043,17:08:36,0.1,2.9
6338,17:08:36,0,2
172,17:08:36,0,1.2
406,17:08:36,0,0.3
343,17:08:36,0,0.6
6126,17:08:36,0,4.1
6216,17:08:36,0,0.2
6002,17:08:36,0.4,3
6350,17:08:36,0,0.2
6211,17:08:36,0,0.1
582,17:08:36,0,0
6401,17:08:36,1.9,3.9
6007,17:08:36,0,1.3
6181,17:08:36,0,0.9
6026,17:08:36,0,0.4
6013,17:08:36,0,1.3
249,17:08:37,0.5,4
395,17:08:37,0.1,1.1
141,17:08:37,13.6,1.4
6020,17:08:37,0.8,1.7
6043,17:08:37,0.1,2.6
6338,17:08:37,0,2
172,17:08:37,0,1.2
406,17:08:37,0,0.3
343,17:08:37,0,0.6
6126,17:08:37,0,4.1
6216,17:08:37,0,0.2
6002,17:08:37,6.3,3
6350,17:08:37,0,0.2
6211,17:08:37,0,0.1
582,17:08:37,0,0
6401,17:08:37,2.5,3.9
6007,17:08:37,3.3,1.3
6181,17:08:37,0,0.9
6026,17:08:37,0,0.4
6013,17:08:37,0,1.3
249,17:08:39,0.2,4
395,17:08:39,0,1.1
141,17:08:39,0.3,1.4
6020,17:08:39,0,1.7
6043,17:08:39,0.1,2.6
6338,17:08:39,0,2
172,17:08:39,0,1.2
406,17:08:39,0,0.3
343,17:08:39,0,0.6
6126,17:08:39,0.2,4.1
6216,17:08:39,0,0.2
6002,17:08:39,0.7,3
6350,17:08:39,0,0.2
6211,17:08:39,0,0.1
582,17:08:39,0,0
6401,17:08:39,1.8,3.9
6007,17:08:39,0.1,1.3
6181,17:08:39,0,0.9
6026,17:08:39,0,0.4
6013,17:08:39,0.3,1.3
249,17:08:40,0,4
395,17:08:40,0,1.1
141,17:08:40,15.5,1.4
6020,17:08:40,0,1.7
6043,17:08:40,0.1,2.6
6338,17:08:40,0,2
172,17:08:40,0,1.2
406,17:08:40,0,0.3
343,17:08:40,0,0.6
6126,17:08:40,0,4.1
6216,17:08:40,0,0.2
6002,17:08:40,18.9,3
6350,17:08:40,0,0.2
6211,17:08:40,0,0.1
582,17:08:40,0,0
6401,17:08:40,43.4,3.9
6007,17:08:40,3.7,1.3
6181,17:08:40,0,0.9
6026,17:08:40,0,0.4
6013,17:08:40,0,1.3
249,17:08:41,0,4
395,17:08:41,0.1,1.1
141,17:08:41,10.9,1.4
6020,17:08:41,0,1.7
6043,17:08:41,0.1,2.6
6338,17:08:41,0,2
172,17:08:41,0.1,1.2
406,17:08:41,0,0.3
343,17:08:41,0,0.6
6126,17:08:41,0,4.1
6216,17:08:41,0,0.2
6002,17:08:41,13.7,3
6350,17:08:41,0,0.2
6211,17:08:41,0,0.1
582,17:08:41,0,0
6401,17:08:41,44.5,3.9
6007,17:08:41,2.8,1.3
6181,17:08:41,0,0.9
6026,17:08:41,0,0.4
6013,17:08:41,0,1.3
249,17:08:42,0,4
395,17:08:42,0.3,1.1
141,17:08:42,6.7,1.4
6020,17:08:42,0.9,1.7
6043,17:08:42,0.3,2.6
6338,17:08:42,0,2
172,17:08:42,0,1.2
406,17:08:42,0,0.3
343,17:08:42,0,0.6
6126,17:08:42,0,4.1
6216,17:08:42,0,0.2
6002,17:08:42,16.7,3
6350,17:08:42,0,0.2
6211,17:08:42,0,0.1
582,17:08:42,0,0
6401,17:08:42,17.5,3.9
6007,17:08:42,4.3,1.3
6181,17:08:42,0,0.9
6026,17:08:42,0,0.4
6013,17:08:42,0,1.3
249,17:08:43,0,4
395,17:08:43,0,1.1
141,17:08:43,4.3,1.4
6020,17:08:43,0,1.7
6043,17:08:43,0.1,2.6
6338,17:08:43,0,2
172,17:08:43,0,1.2
406,17:08:43,0,0.3
343,17:08:43,0,0.6
6126,17:08:43,0,4.1
6216,17:08:43,0,0.2
6002,17:08:43,3.4,3
6350,17:08:43,0,0.2
6211,17:08:43,0,0.1
582,17:08:43,0,0
6401,17:08:43,26.4,3.8
6007,17:08:43,0.3,1.3
6181,17:08:43,0,0.9
6026,17:08:43,0,0.4
6013,17:08:43,0,1.3
249,17:08:44,0.4,4
395,17:08:44,0.4,1.1
141,17:08:44,24,1.4
6020,17:08:44,0,1.7
6043,17:08:44,1.3,2.6
6338,17:08:44,0,2
172,17:08:44,0.9,1.2
406,17:08:44,0,0.3
343,17:08:44,0,0.6
6126,17:08:44,0,4.1
6216,17:08:44,0,0.2
6002,17:08:44,6,3
6350,17:08:44,0,0.2
6211,17:08:44,0,0.1
582,17:08:44,0,0
6401,17:08:44,21.4,3.8
6007,17:08:44,3.6,1.3
6181,17:08:44,0,0.9
6026,17:08:44,0,0.4
6013,17:08:44,0,1.3
249,17:08:45,0,4
395,17:08:45,0,1.1
141,17:08:45,7.2,1.4
6020,17:08:45,0,1.7
6043,17:08:45,9.8,2.6
6338,17:08:45,0,2
172,17:08:45,0,1.2
406,17:08:45,0.6,0.3
343,17:08:45,0,0.6
6126,17:08:45,0,4.1
6216,17:08:45,0,0.2
6002,17:08:45,0.2,3
6350,17:08:45,0,0.2
6211,17:08:45,0,0.1
582,17:08:45,0,0
6401,17:08:45,2.5,3.8
6007,17:08:45,0.1,1.3
6181,17:08:45,0,0.9
6026,17:08:45,0,0.4
6013,17:08:45,0,1.3
249,17:08:46,0,4
395,17:08:46,0,1.1
141,17:08:46,12,1.1
6020,17:08:46,0,1.7
6043,17:08:46,98.6,2.6
6338,17:08:46,0,2
172,17:08:46,0,1.2
406,17:08:46,0,0.3
343,17:08:46,0,0.6
6126,17:08:46,0,4.1
6216,17:08:46,0,0.2
6002,17:08:46,0.2,3
6350,17:08:46,0,0.2
6211,17:08:46,0,0.1
582,17:08:46,0,0
6401,17:08:46,0.2,3.8
6007,17:08:46,0,1.3
6181,17:08:46,0,0.9
6026,17:08:46,0,0.4
6013,17:08:46,0,1.3
249,17:08:47,0,4
395,17:08:47,0.5,1.1
141,17:08:47,13.8,1.1
6020,17:08:47,0,1.7
6043,17:08:47,54,2.6
6338,17:08:47,0,2
172,17:08:47,0,1.2
406,17:08:47,0,0.3
343,17:08:47,0,0.6
6126,17:08:47,0,4.1
6216,17:08:47,0,0.2
6002,17:08:47,0.2,3
6350,17:08:47,0,0.2
6211,17:08:47,0,0.1
582,17:08:47,0,0
6401,17:08:47,7.8,3.8
6007,17:08:47,0,1.3
6181,17:08:47,0,0.9
6026,17:08:47,0,0.4
6013,17:08:47,0,1.3
249,17:08:48,0,4
395,17:08:48,0,1.1
141,17:08:48,8.2,1.1
6020,17:08:48,0,1.7
6043,17:08:48,1.4,2.6
6338,17:08:48,0,2
172,17:08:48,0,1.2
406,17:08:48,0,0.3
343,17:08:48,0,0.6
6126,17:08:48,0,4.1
6216,17:08:48,0,0.2
6002,17:08:48,0.4,3
6350,17:08:48,0,0.2
6211,17:08:48,0,0.1
582,17:08:48,0,0
6401,17:08:48,2.2,3.8
6007,17:08:48,0,1.3
6181,17:08:48,0,0.9
6026,17:08:48,0,0.4
6013,17:08:48,0,1.3
249,17:08:49,0,4
395,17:08:49,0,1.1
141,17:08:49,6,1.1
6020,17:08:49,0,1.7
6043,17:08:49,0.3,2.6
6338,17:08:49,0,2
172,17:08:49,0,1.2
406,17:08:49,0,0.3
343,17:08:49,0,0.6
6126,17:08:49,0,4.1
6216,17:08:49,0,0.2
6002,17:08:49,0.2,3
6350,17:08:49,0,0.2
6211,17:08:49,0,0.1
582,17:08:49,0,0
6401,17:08:49,4.5,3.8
6007,17:08:49,0,1.3
6181,17:08:49,0,0.9
6026,17:08:49,0,0.4
6013,17:08:49,0,1.3
249,17:08:50,0,4
395,17:08:50,0,1.1
141,17:08:50,1.6,1.1
6020,17:08:50,0,1.7
6043,17:08:50,0.2,2.6
6338,17:08:50,0,2
172,17:08:50,0,1.2
406,17:08:50,0.4,0.3
343,17:08:50,0,0.6
6126,17:08:50,0,4.1
6216,17:08:50,0,0.2
6002,17:08:50,0.1,3
6350,17:08:50,0,0.2
6211,17:08:50,0,0.1
582,17:08:50,0,0
6401,17:08:50,1.5,3.8
6007,17:08:50,0,1.3
