pid,time,cpu
249,18:09:35,0
395,18:09:35,0
141,18:09:35,0.3
8978,18:09:35,100
6020,18:09:35,0
6043,18:09:35,0.1
6338,18:09:35,0
172,18:09:35,0
406,18:09:35,0
343,18:09:35,0
6272,18:09:35,0
6002,18:09:35,0.1
8945,18:09:35,0
8941,18:09:35,0
6350,18:09:35,0
6211,18:09:35,0
582,18:09:35,0
6007,18:09:35,0
8987,18:09:35,0
6026,18:09:35,0
249,18:09:36,0.5
395,18:09:36,0
141,18:09:36,0
8978,18:09:36,99
6020,18:09:36,0
6043,18:09:36,0.1
6338,18:09:36,0
172,18:09:36,0
406,18:09:36,0
343,18:09:36,0
6272,18:09:36,0
6002,18:09:36,0
8945,18:09:36,0
8941,18:09:36,0
6350,18:09:36,0
6211,18:09:36,0
582,18:09:36,0
6007,18:09:36,0
8987,18:09:36,0
6026,18:09:36,0
249,18:09:37,0.2
395,18:09:37,0.3
141,18:09:37,0
8978,18:09:37,100
6020,18:09:37,0
6043,18:09:37,0.1
6338,18:09:37,0
172,18:09:37,0.3
406,18:09:37,0
343,18:09:37,0
6272,18:09:37,0
6002,18:09:37,0
8945,18:09:37,0
8941,18:09:37,0
6350,18:09:37,0
6211,18:09:37,0
582,18:09:37,0
6007,18:09:37,0
8987,18:09:37,0
6026,18:09:37,0
249,18:09:38,0.1
395,18:09:38,0
141,18:09:38,0
8978,18:09:38,99.6
6020,18:09:38,0
6043,18:09:38,0
6338,18:09:38,0
172,18:09:38,0
406,18:09:38,0
343,18:09:38,0
6272,18:09:38,0
6002,18:09:38,0
8945,18:09:38,0
8941,18:09:38,0
6350,18:09:38,0
6211,18:09:38,0
582,18:09:38,0
6007,18:09:38,0
8987,18:09:38,0
6026,18:09:38,0
249,18:09:39,0
395,18:09:39,0
141,18:09:39,0
8978,18:09:39,100
6020,18:09:39,0
6043,18:09:39,0.1
6338,18:09:39,0
172,18:09:39,0
406,18:09:39,0
343,18:09:39,0
6272,18:09:39,0
6002,18:09:39,0
8945,18:09:39,0
8941,18:09:39,0
6350,18:09:39,0
6211,18:09:39,0
582,18:09:39,0
6007,18:09:39,0
8987,18:09:39,0
6026,18:09:39,0
249,18:09:40,0
395,18:09:40,0
141,18:09:40,0
8978,18:09:40,100
6020,18:09:40,0
6043,18:09:40,0
6338,18:09:40,0
172,18:09:40,0
406,18:09:40,0
343,18:09:40,0
6272,18:09:40,0
6002,18:09:40,0
8945,18:09:40,0
8941,18:09:40,0
6350,18:09:40,0
6211,18:09:40,0
582,18:09:40,0
6007,18:09:40,0
8987,18:09:40,0
6026,18:09:40,0
249,18:09:41,0
395,18:09:41,0
141,18:09:41,0
8978,18:09:41,100
6020,18:09:41,0
6043,18:09:41,0
6338,18:09:41,0
172,18:09:41,0
406,18:09:41,0
343,18:09:41,0
6272,18:09:41,0
6002,18:09:41,0
8945,18:09:41,0
8941,18:09:41,0
6350,18:09:41,0
6211,18:09:41,0
582,18:09:41,0
6007,18:09:41,0
8987,18:09:41,0
6026,18:09:41,0
249,18:09:42,0
395,18:09:42,0.1
141,18:09:42,0.6
8978,18:09:42,100
6020,18:09:42,0
6043,18:09:42,0.1
6338,18:09:42,0
172,18:09:42,0
406,18:09:42,0
343,18:09:42,0
6272,18:09:42,0
6002,18:09:42,0
8945,18:09:42,0
8941,18:09:42,0
6350,18:09:42,0
6211,18:09:42,0
582,18:09:42,0
6007,18:09:42,0
8987,18:09:42,0
6026,18:09:42,0
